Field,Count,Numeric,Fill Rate,License Only
total,"832,149,365",832149365,100.00%,
birth_date,"91,853,699",91853699,11.04%,
birth_date_fuzzy,"126,300,446",126300446,15.18%,
education,"192,761,711",192761711,23.16%,
education.degrees,"79,413,837",79413837,9.54%,
education.end_date,"150,920,469",150920469,18.14%,
education.gpa,"4,130,813",4130813,0.5%,
education.majors,"83,557,344",83557344,10.04%,
education.minors,"833,138",833138,0.1%,
education.raw,"125,831,477",125831477,15.12%,T
education.school,"186,552,700",186552700,22.42%,
education.school.location,"129,736,205",129736205,15.59%,
education.school.name,"186,489,345",186489345,22.41%,
education.school.profiles,"127,936,523",127936523,15.37%,
education.school.website,"126,949,059",126949059,15.26%,
education.start_date,"132,662,820",132662820,15.94%,
education.summaries,"32,471,166",32471166,3.9%,T
emails,"737,418,032",737418032,88.62%,
emails.address,"737,418,032",737418032,88.62%,
emails.domain,"737,418,032",737418032,88.62%,
emails.local,"737,418,032",737418032,88.62%,
emails.sha256,"737,418,032",737418032,88.62%,
experience,"533,071,112",533071112,64.06%,
experience.company,"470,776,342",470776342,56.57%,
experience.company.country,"241,644,540",241644540,29.04%,
experience.company.founded,"211,959,929",211959929,25.47%,
experience.company.industry,"280,745,997",280745997,33.74%,
experience.company.location,"238,796,399",238796399,28.7%,
experience.company.name,"470,422,312",470422312,56.53%,
experience.company.profiles,"280,982,122",280982122,33.77%,
experience.company.region,"241,644,540",241644540,29.04%,
experience.company.size,"280,982,122",280982122,33.77%,
experience.company.website,"259,310,329",259310329,31.16%,
experience.end_date,"133,000,707",133000707,15.98%,
experience.is_primary,"533,071,112",533071112,64.06%,
experience.last_updated,"229,921,972",229921972,27.63%,
experience.locations,"154,656,772",154656772,18.59%,
experience.locations.address_line_2,"17,989,946",17989946,2.16%,
experience.locations.continent,"154,656,772",154656772,18.59%,
experience.locations.country,"154,656,772",154656772,18.59%,
experience.locations.geo,"136,637,373",136637373,16.42%,
experience.locations.locality,"141,112,836",141112836,16.96%,
experience.locations.name,"154,656,772",154656772,18.59%,
experience.locations.postal_code,"85,830,172",85830172,10.31%,
experience.locations.region,"143,387,897",143387897,17.23%,
experience.locations.street_address,"82,945,416",82945416,9.97%,
experience.locations.subregion,"116,169,810",116169810,13.96%,
experience.locations.zip_plus_4,"10,072,125",10072125,1.21%,
experience.most_recent,"533,071,112",533071112,64.06%,
experience.start_date,"199,894,057",199894057,24.02%,
experience.summaries,"89,192,182",89192182,10.72%,T
experience.title,"458,007,545",458007545,55.04%,
experience.title.levels,"143,277,757",143277757,17.22%,
experience.title.name,"458,007,545",458007545,55.04%,
experience.title.titles,"458,007,545",458007545,55.04%,
gender,"1,654,428,135",1654428135,198.81%,
industries,"335,382,374",335382374,40.3%,
industries.is_primary,"335,382,374",335382374,40.3%,
industries.name,"335,382,374",335382374,40.3%,
inferred_salary,"143,117,766",143117766,17.2%,T
inferred_years_experience,"206,804,772",206804772,24.85%,T
interests,"103,546,027",103546027,12.44%,
languages,"154,808,885",154808885,18.6%,
languages.name,"154,808,885",154808885,18.6%,
languages.proficiency,"16,479,336",16479336,1.98%,
linkedin_connections,"254,031,330",254031330,30.53%,
locations,"1,195,647,145",1195647145,143.68%,
locations.address_line_2,"55,454,518",55454518,6.66%,
locations.continent,"1,195,647,145",1195647145,143.68%,
locations.country,"1,195,647,145",1195647145,143.68%,
locations.geo,"826,564,288",826564288,99.33%,
locations.is_primary,"1,195,647,145",1195647145,143.68%,
locations.last_updated,"385,837,997",385837997,46.37%,
locations.locality,"873,365,823",873365823,104.95%,
locations.most_recent,"1,195,647,145",1195647145,143.68%,
locations.name,"1,195,647,145",1195647145,143.68%,
locations.postal_code,"483,591,051",483591051,58.11%,
locations.region,"922,450,566",922450566,110.85%,
locations.street_address,"425,436,815",425436815,51.13%,
locations.subregion,"735,514,377",735514377,88.39%,
locations.zip_plus_4,"203,146,664",203146664,24.41%,
names,"2,411,502,240",2411502240,289.79%,
names.clean,"2,411,502,240",2411502240,289.79%,
names.first_name,"2,411,502,240",2411502240,289.79%,
names.is_primary,"2,411,502,240",2411502240,289.79%,
names.last_name,"2,411,502,240",2411502240,289.79%,
names.middle_initial,"505,544,614",505544614,60.75%,
names.middle_name,"322,288,508",322288508,38.73%,
names.name,"2,411,502,240",2411502240,289.79%,
phone_numbers,"418,726,088",418726088,50.32%,
phone_numbers.E164,"418,726,088",418726088,50.32%,
profiles,"1,807,839,282",1807839282,217.25%,
profiles.clean,"1,770,873,032",1770873032,212.81%,
profiles.ids,"1,212,155,146",1212155146,145.67%,
profiles.is_primary,"589,382,020",589382020,70.83%,
profiles.network,"1,807,839,282",1807839282,217.25%,
profiles.username,"861,797,020",861797020,103.56%,
skills,"147,542,213",147542213,17.73%,
